AR,alpha,Pxx,Pyy,Pzz,Pxy,theta,source
1.5,0.50,1.6833661329305134,0.6728278096676737,0.7214665135951661,-0.5745874848942598,1.136308540055206,archived_lammps_usf
1.5,0.55,1.6190706456456456,0.7029677057057057,0.7594546246246247,-0.556600466966967,1.1583009679410559,archived_lammps_usf
1.5,0.60,1.5664868609865472,0.7372848251121076,0.7796375949177877,-0.541953822122571,1.1558221425369295,archived_lammps_usf
1.5,0.65,1.4950001490312965,0.7719567496274218,0.8194152086438151,-0.5229796989567809,1.1388702039710425,archived_lammps_usf
1.5,0.70,1.4326047994056466,0.8103098974739971,0.8457036433878159,-0.49546821396731056,1.1335162473564322,archived_lammps_usf
1.5,0.75,1.3744306814814815,0.8456227140740741,0.8697869081481482,-0.46887788,1.1297779994354873,archived_lammps_usf
1.5,0.80,1.3155358431952662,0.8715076434911242,0.9048878328402368,-0.4277675,1.0909863468084582,archived_lammps_usf
1.5,0.85,1.2431529985228953,0.9153652732644016,0.9347103087149187,-0.38474662481536187,1.0828197561530468,archived_lammps_usf
1.5,0.90,1.1755800886262924,0.9497157208271787,0.9697956543574595,-0.31942898522895125,1.0557248207685286,archived_lammps_usf
1.5,0.95,1.1054533825701625,0.990267540620384,0.9999468005908421,-0.235645353028065,1.0221698315575085,archived_lammps_usf
2.0,0.50,1.6965473867069487,0.6647158081570996,0.7130816842900302,-0.5807557658610273,1.187082398527616,archived_lammps_usf
2.0,0.55,1.6316693993993994,0.7023828633633634,0.7441667807807808,-0.5661807942942944,1.2126527888910148,archived_lammps_usf
2.0,0.60,1.569754798206278,0.731927624813154,0.7785233004484305,-0.5439274245142002,1.2243506978008796,archived_lammps_usf
2.0,0.65,1.503639865871833,0.7655495588673622,0.813943564828614,-0.5216491371087928,1.2080670011360255,archived_lammps_usf
2.0,0.70,1.4362759732540862,0.8048224502228826,0.8440476389301635,-0.5009645364041605,1.186456963278936,archived_lammps_usf
2.0,0.75,1.3743088296296297,0.8383322266666666,0.8744760133333332,-0.4705376400000001,1.162743836060088,archived_lammps_usf
2.0,0.80,1.3182987130177515,0.8709011139053254,0.8999182603550295,-0.4325463165680474,1.1314931046416554,archived_lammps_usf
2.0,0.85,1.245847459379616,0.9090566499261449,0.9365394623338256,-0.38253530871491875,1.0888909693106417,archived_lammps_usf
2.0,0.90,1.1692870014771046,0.9514854372230429,0.9715349364844902,-0.3229168375184638,1.063945702289713,archived_lammps_usf
2.0,0.95,1.1065081093057607,0.9927838419497784,0.9934848389955686,-0.23683860118168393,1.035556992280359,archived_lammps_usf
2.5,0.50,1.7206603776435045,0.654909829305136,0.6984602749244714,-0.5811089818731119,1.2025431816332697,archived_lammps_usf
2.5,0.55,1.6453449849849848,0.6950131321321321,0.7368366786786786,-0.5673129939939939,1.2306459945839032,archived_lammps_usf
2.5,0.60,1.5836136472346785,0.7277954648729448,0.7695214887892378,-0.5463316696562033,1.235340695974559,archived_lammps_usf
2.5,0.65,1.5075117883755589,0.7670701341281669,0.8084216497764528,-0.5301710014903129,1.2276046658914188,archived_lammps_usf
2.5,0.70,1.4514529717682019,0.8014683387815751,0.8326621500742943,-0.5053162778603268,1.2098071790339693,archived_lammps_usf
2.5,0.75,1.3876179407407407,0.834404285925926,0.8656119807407407,-0.47080531555555555,1.17092368657338,archived_lammps_usf
2.5,0.80,1.3172166568047339,0.872070399408284,0.9001235443786982,-0.43381442455621294,1.14484435109567,archived_lammps_usf
2.5,0.85,1.2496735450516987,0.9116638906942394,0.9310665834564255,-0.3892457976366322,1.1192842795624993,archived_lammps_usf
2.5,0.90,1.1765170901033974,0.9547752525849335,0.9624074549483014,-0.3288032023633678,1.0748947337246972,archived_lammps_usf
2.5,0.95,1.1080207828655833,0.9867713353028065,0.9992566203840472,-0.23590799852289515,1.035721170275555,archived_lammps_usf
3.0,0.50,1.7230286686838123,0.6547593419062028,0.6990160529500757,-0.5836590514372163,1.197979736526449,archived_lammps_usf
3.0,0.55,1.6521254354354356,0.6904635285285285,0.7378552537537538,-0.5658392567567567,1.2317404655638018,archived_lammps_usf
3.0,0.60,1.5836315097159943,0.7263299910313902,0.7729318714499253,-0.5485424095665172,1.2360371352568704,archived_lammps_usf
3.0,0.65,1.5190506706408344,0.7657979046199702,0.8007867198211623,-0.5319293979135619,1.2314836894219467,archived_lammps_usf
3.0,0.70,1.4568208915304606,0.7993215616641901,0.8314097890044577,-0.5066022020802377,1.2092863995773429,archived_lammps_usf
3.0,0.75,1.3938738666666668,0.830445268148148,0.8655993555555557,-0.47096650962962955,1.185660443792644,archived_lammps_usf
3.0,0.80,1.3192971301775147,0.8724048402366863,0.9000689955621302,-0.436577149408284,1.150211506870911,archived_lammps_usf
3.0,0.85,1.2530715088757398,0.9121268047337278,0.928790951183432,-0.3912080473372781,1.1155426639984798,archived_lammps_usf
3.0,0.90,1.1849019497784343,0.9504128404726737,0.9601848493353027,-0.32792651846381093,1.0804266219361034,archived_lammps_usf
3.0,0.95,1.1102788774002954,0.9904170797636633,0.9959763220088625,-0.23766110339734123,1.0388641189392565,archived_lammps_usf
